"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.073437818E0,-2.373000145E0,3.295950174E0,7.309050560E0
5.093437818E0,-2.083050013E0,3.501000166E0,7.114950180E0
5.113437818E0,-1.864950061E0,3.235950232E0,6.841950417E0
5.133437818E0,-1.348050117E0,2.805000067E0,1.041405010E1
5.153437818E0,-1.243050098E0,2.769000053E0,7.936050415E0
5.173437818E0,-1.219050050E0,1.938000083E0,7.375950336E0
5.193437818E0,-1.650000095E0,1.155000091E0,1.105095005E1
5.213437818E0,-1.666050076E0,1.284000039E0,1.308405018E1
5.233437818E0,-6.349500418E-1,1.252950072E0,1.041405010E1
5.253437818E0,-2.010000050E-1,7.600500584E-1,9.772950172E0
5.273437818E0,-6.660000086E-1,2.190000117E-1,1.285200024E1
5.293437818E0,-2.869500220E-1,6.330000162E-1,1.468305111E1
5.313437818E0,1.105050087E0,6.979500055E-1,1.204695034E1
5.333437818E0,1.546050072E0,4.249500334E-1,1.099605083E1
5.353437818E0,1.219950080E0,9.195000678E-2,1.304805088E1
5.373437818E0,1.416000009E0,-5.295000225E-2,1.397895050E1
5.393437818E0,1.660950065E0,4.200000316E-2,1.216005039E1
5.413437818E0,2.046000004E0,1.879500151E-1,1.118805027E1
5.433437818E0,2.436000109E0,1.260000020E-1,1.199400043E1
5.453437818E0,2.992050171E0,-1.200000010E-2,1.243695068E1
5.473437818E0,3.492000103E0,-2.350500077E-1,1.183605099E1
5.493437818E0,3.355950117E0,-3.259500265E-1,1.156305027E1
5.513437818E0,3.298050165E0,-1.249500066E-1,1.178595066E1
5.533437818E0,4.363950253E0,-2.920500040E-1,1.193505096E1
5.553437818E0,4.804050446E0,-5.269500017E-1,1.161105061E1
5.573437818E0,4.756050110E0,-9.870000482E-1,1.108905029E1
5.593437818E0,4.756050110E0,-9.870000482E-1,1.108905029E1
5.613437818E0,5.025000095E0,-7.999500632E-1,1.012005043E1
5.633437818E0,5.749950409E0,-6.660000086E-1,9.346050262E0
5.653437818E0,6.540000439E0,4.459500313E-1,9.022950172E0
5.673437818E0,8.439000130E0,-2.370000184E-1,8.506050110E0
5.693437818E0,7.402050495E0,-1.200000048E0,8.604000092E0
5.713437818E0,6.091950417E0,-5.610000491E-1,8.866950035E0
5.733437818E0,6.091950417E0,-5.610000491E-1,8.866950035E0
5.753437818E0,8.653950691E0,-7.879500389E-1,8.098950386E0
5.773437818E0,8.355000496E0,-9.079500437E-1,7.756950378E0
5.793437818E0,8.335950851E0,-9.079500437E-1,7.936050415E0
5.813437818E0,8.785950661E0,-1.059000015E0,8.010000229E0
5.833437818E0,8.760000229E0,-1.141950011E0,7.957950592E0
5.853437818E0,8.719050407E0,-1.138050079E0,7.846950531E0
5.873437818E0,9.103950500E0,-1.023000002E0,7.845000267E0
5.893437818E0,9.322050095E0,-9.529500604E-1,7.480950356E0
5.913437818E0,9.069000244E0,-9.250500202E-1,6.885000229E0
5.933437818E0,8.716950417E0,-9.289500713E-1,6.625950336E0
5.953437818E0,8.560950279E0,-9.919500351E-1,6.631050110E0
5.973437818E0,8.427000046E0,-7.330500484E-1,6.507000446E0
5.993437818E0,8.368950844E0,-7.090500593E-1,6.832050323E0
6.013437818E0,8.298000336E0,-7.399500608E-1,7.066950321E0
6.033437818E0,7.906950474E0,-7.279500365E-1,7.150950432E0
6.053437818E0,7.906950474E0,-7.279500365E-1,7.150950432E0
6.073437818E0,6.787050247E0,-6.469500065E-1,6.993000507E0
6.093437818E0,6.424950123E0,-5.970000029E-1,7.270050526E0
6.113437818E0,6.016050339E0,-3.930000067E-1,7.960050583E0
6.133437818E0,6.195000172E0,-3.480000198E-1,8.323950768E0
6.153437818E0,7.324950218E0,-3.640500307E-1,8.049000740E0
6.173437818E0,8.317049980E0,-3.760500252E-1,7.366050243E0
6.193437818E0,8.784000397E0,-3.259500265E-1,6.892050266E0
6.213437818E0,8.745000839E0,-3.760500252E-1,6.526050091E0
6.233437818E0,8.973000526E0,-9.649500251E-1,6.267000198E0
6.253437818E0,8.412000656E0,-1.557000041E0,5.584950447E0
6.273437818E0,8.371950150E0,-1.078050017E0,6.765000343E0
6.293437818E0,9.069000244E0,-1.168950081E0,7.191000462E0
6.313437818E0,8.968050003E0,-1.150050044E0,6.717000484E0
6.333437818E0,8.532000542E0,-1.141950011E0,6.081000328E0
6.353437818E0,8.032050133E0,-1.264950037E0,5.992050171E0
6.373437818E0,7.776000500E0,-1.219050050E0,6.171000481E0
6.393437818E0,8.050950050E0,-1.240950108E0,6.091950417E0
6.413437818E0,8.572950363E0,-1.231050014E0,5.551050186E0
6.433437818E0,8.128050804E0,-1.276950002E0,5.877000332E0
6.453437818E0,7.651050568E0,-1.417950034E0,6.253050327E0
6.473437818E0,7.651050568E0,-1.417950034E0,6.253050327E0
6.493437818E0,7.869000435E0,-1.312050104E0,7.486050129E0
6.513437818E0,8.298000336E0,-1.051050067E0,8.070000648E0
6.533437818E0,8.508000374E0,-8.839500546E-1,8.281050682E0
6.553437818E0,8.223000526E0,-6.850500107E-1,8.748000145E0
6.573437818E0,8.008049965E0,-5.560500026E-1,9.397050858E0
6.593437818E0,8.056050301E0,-5.920500159E-1,9.958950043E0
6.613437818E0,7.716000557E0,-8.599500656E-1,1.054605007E1
6.633437818E0,6.874950409E0,-7.519500256E-1,1.104105091E1
6.653437818E0,6.825000286E0,-6.060000062E-1,1.155900097E1
6.673437818E0,7.153050423E0,-2.899500132E-1,1.231500053E1
6.693437818E0,7.399950504E0,-2.639999986E-1,1.284405041E1
6.713437818E0,7.452000141E0,-6.640500426E-1,1.265805054E1
6.733437818E0,7.074000359E0,-1.095000029E0,1.249500084E1
6.753437818E0,6.403950214E0,-1.231050014E0,1.276305103E1
6.773437818E0,6.018000126E0,-1.663950086E0,1.349100018E1
6.793437818E0,5.817000389E0,-2.062050104E0,1.371600056E1
6.813437818E0,5.719050407E0,-2.260950089E0,1.405605030E1
6.833437818E0,4.582050323E0,-3.292950153E0,1.415895081E1
6.853437818E0,3.586050272E0,-3.652050257E0,1.433805084E1
6.873437818E0,3.313050270E0,-3.802950144E0,1.554000092E1
6.893437818E0,3.313050270E0,-3.802950144E0,1.554000092E1
6.913437818E0,3.466050148E0,-4.480050087E0,1.611300087E1
6.933437818E0,2.608950138E0,-4.726950169E0,1.512900066E1
6.953437818E0,1.801950097E0,-4.542000294E0,1.417800045E1
6.973437818E0,1.693950057E0,-4.223999977E0,1.327095032E1
6.993437818E0,1.876050115E0,-3.855000257E0,1.294305038E1
7.013437818E0,1.777950048E0,-3.373950243E0,1.264305019E1
7.033437818E0,1.315950036E0,-2.847000122E0,1.165905094E1
7.053437818E0,8.200500607E-1,-2.422950029E0,1.051200008E1
7.073437818E0,2.460000068E-1,-1.758000135E0,1.011705017E1
7.093437818E0,6.000000052E-3,-1.305000067E0,9.837000847E0
7.113437818E0,1.090500057E-1,-1.012950063E0,9.190950394E0
7.133437818E0,-2.250000089E-1,-6.229500175E-1,8.237999916E0
