"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.583753445E0,-4.060375094E-1,-1.414187551E0,-1.453374922E-1
6.603753445E0,-2.777499855E-1,-1.502187490E0,-3.052499890E-2
6.623753445E0,-2.887499928E-1,-1.659762502E0,-1.245749965E-1
6.643753445E0,-3.425124884E-1,-1.612187505E0,-2.088624984E-1
6.663753445E0,-3.205125034E-1,-1.364137530E0,-1.513874978E-1
6.683753445E0,-4.207499921E-1,-1.340899944E0,-2.136749923E-1
6.703753445E0,-5.343250036E-1,-1.393424988E0,-2.796750069E-1
6.723753445E0,-5.490375161E-1,-1.398375034E0,-2.662000060E-1
6.743753445E0,-3.095124960E-1,-1.431375027E0,-2.222000062E-1
6.763753445E0,-3.620375097E-1,-1.338562489E0,-2.846249938E-1
6.783753445E0,-4.573250115E-1,-1.019700050E0,-2.161500007E-1
6.803753445E0,-1.434125006E-1,-9.024124742E-1,1.374999993E-4
6.823753445E0,3.306874931E-1,-1.235849977E0,1.112374961E-1
6.843753445E0,8.249999955E-4,-1.573137522E0,-4.386249930E-2
6.863753445E0,-4.340874851E-1,-1.288375020E0,-9.404999763E-2
6.883753445E0,-4.120875001E-1,-1.050225019E0,-9.638749808E-2
6.903753445E0,-2.838000059E-1,-1.028224945E0,-1.073874980E-1
6.923753445E0,-4.573250115E-1,-1.073325038E0,-1.123374999E-1
6.943753445E0,-6.161375046E-1,-1.155274987E0,-1.721500009E-1
6.963753445E0,-5.073750019E-1,-1.340899944E0,-2.943874896E-1
6.983753445E0,-4.120875001E-1,-1.316562533E0,-2.638624907E-1
7.003753445E0,-4.353249967E-1,-1.253037453E0,-2.418625057E-1
7.023753445E0,-8.031374812E-1,-1.108799934E0,-2.858625054E-1
7.043753445E0,-8.922374845E-1,-1.182087541E0,-3.114374876E-1
7.063753445E0,-2.619374990E-1,-1.560899973E0,-1.551000029E-1
7.083753445E0,-1.677500010E-1,-1.463137507E0,-5.128749833E-2
7.103753445E0,-3.889875114E-1,-1.359325051E0,-5.733750015E-2
7.123753445E0,-4.328500032E-1,-1.389850020E0,-1.159124970E-1
7.143753445E0,-6.146249920E-2,-1.458187461E0,-5.857500061E-2
7.163753445E0,-4.525125027E-1,-1.504662514E0,-1.831499934E-1
7.183753445E0,-1.044999957E0,-1.365375042E0,-3.614875078E-1
7.203753445E0,-9.814749956E-1,-1.233374953E0,-3.957250118E-1
7.223753445E0,-3.057999909E-1,-1.331137538E0,-2.393874973E-1
7.243753445E0,7.287500054E-2,-1.476612449E0,-1.073874980E-1
7.263753445E0,-2.545124888E-1,-1.507137537E0,-1.368124932E-1
7.283753445E0,-1.038949966E0,-1.388612509E0,-3.517250121E-1
7.303753445E0,-1.181812525E0,-1.213850021E0,-4.336749911E-1
7.323753445E0,-8.116624951E-1,-9.524624944E-1,-3.261500001E-1
